,Abadiania,Agua Fria de Goias,Aguas Claras,Aguas Claras Vertical,Aguas Lindas de Goias,Alexania,Brazlandia,Buritis,Cabeceira Grande,Cabeceiras,Candangolandia,Ceilandia,Cidade Ocidental,Cocalzinho de Goias,Corumba de Goias,Cristalina,Cruzeiro,Formosa,Gama,Guara,Itapoa,Jardim Botanico,Lago Norte,Lago Sul,Luziania,Novo Gama,Nucleo Bandeirante,Padre Bernardo,Paranoa,Park Way,Pirenopolis,Planaltina,Planaltina-GO,Plano Piloto,Recanto das Emas,Riacho Fundo I,Riacho Fundo II,Samambaia,Santa Maria,Santo Antonio do Descoberto,Sao Sebastiao,SCIA/Estrutural,SIA,Sobradinho,Sobradinho II,Sol Nascente/Por do Sol,Sudoeste/Octogonal,Taguatinga,Unai,Valparaiso de Goias,Varjao,Vicente Pires,Vila Boa
Aguas Claras,22132.333333333332,29042.0,1202.0,1655.3333333333333,8130.333333333333,14416.0,8901.666666666666,37151.333333333336,22111.0,25443.333333333332,2398.6666666666665,5352.0,10739.666666666666,20187.666666666668,18294.333333333332,27779.666666666668,3103.6666666666665,25223.333333333332,6689.666666666667,2362.3333333333335,8895.666666666666,6946.333333333333,7320.666666666667,4993.0,12304.333333333334,9781.333333333334,1365.3333333333333,21979.666666666668,14797.333333333334,4184.0,30279.666666666668,15047.0,21606.333333333332,5947.666666666667,4478.333333333333,2580.6666666666665,3011.0,3358.0,6660.666666666667,10433.0,9338.333333333334,2360.3333333333335,3439.0,11003.0,7350.0,4036.0,3458.6666666666665,3612.6666666666665,36971.666666666664,5605.333333333333,5411.333333333333,2200.0,34335.0
Aguas Claras Vertical,24872.666666666668,29757.333333333332,1364.3333333333333,718.3333333333334,7571.0,15263.0,6478.666666666667,35650.0,25023.333333333332,27305.666666666668,2900.3333333333335,5210.0,11203.666666666666,19790.0,19482.333333333332,29059.333333333332,2578.6666666666665,28855.0,5578.666666666667,1521.6666666666667,9322.0,7218.0,5716.666666666667,4948.666666666667,23029.666666666668,8183.666666666667,2364.3333333333335,21880.666666666668,14375.666666666666,3477.3333333333335,33494.0,15859.666666666666,18676.0,5253.0,4128.333333333333,2954.6666666666665,3256.6666666666665,3014.0,7636.666666666667,10463.666666666666,9929.0,2064.3333333333335,2081.0,8638.0,7529.666666666667,2592.3333333333335,3024.0,2336.6666666666665,39521.666666666664,6850.0,5232.666666666667,1571.6666666666667,34072.0
Brazlandia,26495.333333333332,30625.333333333332,7448.0,9023.333333333334,7467.666666666667,19882.333333333332,3905.6666666666665,42875.666666666664,25582.0,31491.333333333332,9055.0,9138.666666666666,16414.0,15401.666666666666,15849.0,38162.333333333336,7151.666666666667,34563.333333333336,12474.0,9460.666666666666,11932.333333333334,12343.666666666666,11204.0,12663.333333333334,24115.0,15004.666666666666,9165.666666666666,14929.0,19835.0,10810.666666666666,29395.666666666668,18301.0,23300.666666666668,11838.0,8841.666666666666,11559.0,9172.666666666666,11919.333333333334,11614.666666666666,10288.666666666666,14698.666666666666,5164.333333333333,7580.333333333333,9471.0,9646.0,6729.333333333333,7950.0,8220.666666666666,40438.0,15879.0,8254.0,6248.666666666667,37584.0
Candangolandia,23969.333333333332,28766.666666666668,2262.3333333333335,2709.0,11783.666666666666,14809.666666666666,10515.666666666666,40426.333333333336,24445.333333333332,25215.333333333332,1087.3333333333333,7851.666666666667,8611.333333333334,26539.333333333332,20722.0,27852.333333333332,1700.6666666666667,31531.666666666668,6494.333333333333,1155.3333333333333,6775.333333333333,6268.666666666667,4452.333333333333,5221.0,17299.333333333332,7278.0,971.6666666666666,24745.666666666668,12515.666666666666,2268.3333333333335,30658.333333333332,12384.333333333334,20194.666666666668,5340.0,5791.333333333333,3990.3333333333335,3914.6666666666665,5294.333333333333,5602.333333333333,15733.666666666666,8758.0,3013.0,2409.3333333333335,10889.0,7308.666666666667,6661.0,2249.0,4648.666666666667,38923.333333333336,6228.0,4444.666666666667,3892.6666666666665,31610.333333333332
Ceilandia,24848.333333333332,33125.666666666664,4213.333333333333,6016.333333333333,5223.666666666667,16689.333333333332,7412.666666666667,42250.333333333336,34324.333333333336,31586.333333333332,7350.666666666667,2814.6666666666665,13987.0,13666.666666666666,15082.0,36110.666666666664,7339.333333333333,29716.666666666668,5854.0,5361.666666666667,12495.333333333334,11711.0,11082.666666666666,11010.666666666666,19585.666666666668,12369.666666666666,6290.333333333333,18288.333333333332,16581.666666666668,8341.666666666666,29997.333333333332,16695.666666666668,27820.666666666668,9362.333333333334,5332.0,6758.0,6132.0,3494.0,10758.333333333334,7417.666666666667,13151.333333333334,6363.333333333333,5967.666666666667,14579.0,10737.333333333334,3703.3333333333335,7112.666666666667,4721.333333333333,37856.666666666664,11293.333333333334,7413.0,4382.333333333333,43110.5
Cruzeiro,25231.666666666668,30456.333333333332,3367.0,2746.6666666666665,9648.333333333334,17368.666666666668,7504.333333333333,39931.666666666664,24241.0,23671.0,1738.0,6628.0,8333.333333333334,16672.0,21402.0,28999.333333333332,337.3333333333333,20277.666666666668,7360.666666666667,1424.6666666666667,5927.666666666667,5890.666666666667,4456.333333333333,5237.0,21422.0,8282.666666666666,2568.3333333333335,20785.666666666668,11950.333333333334,2790.3333333333335,28860.666666666668,11900.666666666666,20483.666666666668,3732.3333333333335,6951.333333333333,4462.0,5211.333333333333,6011.0,7261.333333333333,11639.0,9694.0,1911.6666666666667,1358.0,5599.333333333333,5128.333333333333,5494.333333333333,743.3333333333334,3658.3333333333335,36737.0,6944.666666666667,2471.0,3208.0,31196.0
Gama,18846.333333333332,42488.666666666664,7569.333333333333,5358.666666666667,10221.666666666666,13736.333333333334,15125.0,45517.333333333336,28722.0,33794.0,3838.3333333333335,6391.333333333333,6937.0,21133.0,23096.0,19211.333333333332,8647.666666666666,44844.666666666664,2092.0,8501.333333333334,14601.0,10988.666666666666,12370.333333333334,9681.0,17413.666666666668,5892.666666666667,6065.333333333333,27042.333333333332,15682.666666666666,5473.0,31441.0,22118.0,26037.666666666668,12250.666666666666,4725.333333333333,2883.0,2594.3333333333335,5157.666666666667,7384.333333333333,7804.333333333333,14901.0,6525.0,7901.333333333333,14874.333333333334,13572.333333333334,6521.0,9310.0,8519.666666666666,38464.0,5756.666666666667,10210.666666666666,5596.0,41279.333333333336
Guara,27869.0,27111.333333333332,2679.6666666666665,2488.0,10201.333333333334,16203.666666666666,7584.333333333333,36377.666666666664,22450.333333333332,26340.0,1518.6666666666667,8593.666666666666,11528.0,20259.666666666668,19977.0,20300.0,1743.0,32470.333333333332,8450.666666666666,1110.0,8334.333333333334,6714.666666666667,4871.666666666667,5330.666666666667,18115.333333333332,8925.0,1214.6666666666667,17627.666666666668,14265.333333333334,2364.3333333333335,33396.333333333336,12404.333333333334,19750.0,4943.333333333333,5789.333333333333,3407.0,4127.333333333333,6231.666666666667,6408.666666666667,12666.666666666666,8687.666666666666,1328.0,1481.0,10614.333333333334,5711.333333333333,4240.333333333333,2322.0,4403.666666666667,30706.0,6423.0,4033.6666666666665,1916.6666666666667,31931.0
Itapoa,30466.333333333332,26180.333333333332,10012.0,10657.0,15848.0,23296.666666666668,11335.666666666666,35632.0,18067.666666666668,17707.333333333332,7256.0,14374.333333333334,11154.666666666666,24086.0,28085.666666666668,25448.0,7492.0,27587.0,14449.0,9063.666666666666,2018.3333333333333,4194.333333333333,4384.333333333333,6545.666666666667,22571.0,14253.666666666666,8172.333333333333,23427.333333333332,6869.666666666667,8601.333333333334,39199.666666666664,5921.0,17602.666666666668,8102.0,12499.666666666666,9895.666666666666,10722.333333333334,13001.666666666666,11735.0,17698.0,8922.0,7935.333333333333,8099.333333333333,11085.333333333334,5887.0,11468.666666666666,7823.666666666667,10143.0,31686.666666666668,11666.0,3188.3333333333335,9598.666666666666,27210.333333333332
Jardim Botanico,30034.333333333332,29485.333333333332,9069.666666666666,8690.666666666666,13413.666666666666,21121.666666666668,13247.666666666666,32685.333333333332,22906.666666666668,24657.0,4773.666666666667,11243.333333333334,6952.0,27879.0,27367.333333333332,29977.666666666668,6111.0,29593.0,12110.333333333334,6370.333333333333,6689.0,2990.0,5386.333333333333,5507.666666666667,23129.666666666668,9601.333333333334,5849.666666666667,21815.333333333332,10534.333333333334,7407.333333333333,35624.666666666664,11265.666666666666,18804.333333333332,9353.666666666666,12360.333333333334,8052.333333333333,9470.333333333334,10057.0,6891.666666666667,14724.333333333334,7947.333333333333,7122.333333333333,7206.666666666667,8500.666666666666,6797.333333333333,10825.666666666666,5895.666666666667,9861.666666666666,29618.333333333332,8719.0,6291.666666666667,8469.666666666666,33023.666666666664
