,Abadiania,Agua Fria de Goias,Aguas Claras,Aguas Claras Vertical,Aguas Lindas de Goias,Alexania,Brazlandia,Buritis,Cabeceira Grande,Cabeceiras,Candangolandia,Ceilandia,Cidade Ocidental,Cocalzinho de Goias,Corumba de Goias,Cristalina,Cruzeiro,Formosa,Gama,Guara,Itapoa,Jardim Botanico,Lago Norte,Lago Sul,Luziania,Novo Gama,Nucleo Bandeirante,Padre Bernardo,Paranoa,Park Way,Pirenopolis,Planaltina,Planaltina-GO,Plano Piloto,Recanto das Emas,Riacho Fundo I,Riacho Fundo II,Samambaia,Santa Maria,Santo Antonio do Descoberto,Sao Sebastiao,SCIA/Estrutural,SIA,Sobradinho,Sobradinho II,Sol Nascente/Por do Sol,Sudoeste/Octogonal,Taguatinga,Unai,Valparaiso de Goias,Varjao,Vicente Pires,Vila Boa
Aguas Claras,6808.666666666667,8358.666666666666,852.3333333333334,927.6666666666666,3241.3333333333335,4664.666666666667,2805.3333333333335,11800.333333333334,8612.0,7605.0,1351.0,2713.6666666666665,4339.0,5870.666666666667,5789.0,9447.0,1362.6666666666667,6651.0,1869.0,1043.0,3499.6666666666665,3097.3333333333335,2497.0,2354.6666666666665,6318.333333333333,3120.0,754.6666666666666,6295.333333333333,4680.0,1371.6666666666667,7790.666666666667,4573.0,6341.333333333333,2545.6666666666665,1396.0,1308.3333333333333,1303.0,1528.6666666666667,2165.3333333333335,3598.0,3186.3333333333335,1080.3333333333333,1042.6666666666667,2880.3333333333335,2372.6666666666665,1856.6666666666667,1321.0,1164.0,12003.666666666666,2536.3333333333335,2202.0,887.3333333333334,9412.5
Aguas Claras Vertical,7215.666666666667,8707.333333333334,1057.0,399.0,2887.3333333333335,5481.666666666667,2962.3333333333335,11209.666666666666,7895.666666666667,8318.666666666666,1118.3333333333333,1819.0,3322.6666666666665,6654.666666666667,5656.666666666667,7284.666666666667,981.6666666666666,10325.0,2489.6666666666665,849.3333333333334,3228.6666666666665,3009.3333333333335,2313.3333333333335,2209.3333333333335,5376.666666666667,3610.6666666666665,1291.0,7265.0,5155.333333333333,1116.3333333333333,7738.0,4213.0,6595.666666666667,1988.6666666666667,2048.0,1597.6666666666667,1897.3333333333333,2060.0,2529.0,5498.0,3887.0,1050.6666666666667,1309.0,4585.333333333333,2511.6666666666665,1460.6666666666667,1134.0,1736.3333333333333,9136.666666666666,2582.3333333333335,2030.0,790.0,10358.666666666666
Brazlandia,8068.333333333333,8361.333333333334,3152.3333333333335,2775.3333333333335,3025.0,6565.666666666667,1735.3333333333333,13917.0,11484.333333333334,8538.0,3790.0,2972.3333333333335,6878.333333333333,4487.5,6924.0,8880.666666666666,3180.3333333333335,8322.0,4832.0,3009.6666666666665,4869.333333333333,4403.333333333333,3735.0,3804.0,7983.666666666667,6271.333333333333,2920.0,4226.666666666667,4340.0,3084.0,8287.666666666666,5647.666666666667,9301.666666666666,2245.5,3237.3333333333335,3218.3333333333335,4349.666666666667,2468.0,4899.666666666667,5336.333333333333,6092.666666666667,2711.6666666666665,3553.3333333333335,3703.0,3566.0,2822.3333333333335,3187.3333333333335,3042.3333333333335,11725.0,5235.333333333333,3273.0,2838.0,12227.333333333334
Candangolandia,6396.666666666667,7748.0,1066.0,1368.6666666666667,3787.3333333333335,5130.0,3568.0,10023.333333333334,7821.333333333333,7777.333333333333,467.0,2698.6666666666665,2841.3333333333335,6906.0,6081.0,7351.333333333333,782.3333333333334,6375.0,3058.6666666666665,417.0,2640.6666666666665,2341.0,2202.0,2271.0,5692.333333333333,3175.6666666666665,515.6666666666666,6445.333333333333,4707.666666666667,972.3333333333334,9815.666666666666,3644.3333333333335,5237.333333333333,1182.3333333333333,2100.0,1205.3333333333333,1632.6666666666667,2453.0,2225.3333333333335,4975.0,4029.5,1493.3333333333333,1077.0,3584.6666666666665,2964.0,2564.6666666666665,948.6666666666666,1697.6666666666667,7020.666666666667,2136.3333333333335,1651.0,1179.0,8890.333333333334
Ceilandia,6051.0,8748.666666666666,2189.3333333333335,1551.6666666666667,1798.6666666666667,4764.0,2836.3333333333335,12920.333333333334,10162.333333333334,10419.333333333334,2837.6666666666665,1319.6666666666667,5909.333333333333,5624.666666666667,5685.333333333333,10791.666666666666,2092.5,12530.0,3071.6666666666665,1705.6666666666667,3826.0,4572.333333333333,3074.6666666666665,3384.0,8267.333333333334,4574.0,2504.3333333333335,6938.666666666667,5032.0,3086.3333333333335,6682.666666666667,5415.666666666667,7241.333333333333,4187.666666666667,2310.6666666666665,2897.0,2549.3333333333335,1886.6666666666667,3752.3333333333335,4739.0,4701.0,2442.6666666666665,2319.0,4019.6666666666665,3588.3333333333335,1536.0,2346.3333333333335,1761.6666666666667,11141.666666666666,3316.6666666666665,2968.3333333333335,1104.0,11811.333333333334
Cruzeiro,7183.666666666667,7766.666666666667,1448.0,1183.0,3063.0,5659.0,2620.3333333333335,10733.333333333334,7840.0,8634.333333333334,971.3333333333334,1888.6666666666667,4474.666666666667,5443.666666666667,6152.0,7418.666666666667,332.3333333333333,7812.0,2098.6666666666665,946.0,2377.0,2538.6666666666665,1218.3333333333333,1873.3333333333333,4594.666666666667,4272.666666666667,1040.0,5024.333333333333,4622.333333333333,1140.3333333333333,8966.0,3468.6666666666665,6166.0,2035.6666666666667,2723.0,1307.6666666666667,1580.3333333333333,2520.6666666666665,2949.0,4632.0,3619.0,806.6666666666666,612.0,2493.6666666666665,1419.0,1990.0,372.3333333333333,1707.6666666666667,11133.0,2572.3333333333335,1100.3333333333333,1144.6666666666667,7667.333333333333
Gama,5293.0,10568.666666666666,1730.0,2761.3333333333335,4009.0,4779.333333333333,3531.0,12333.0,8683.333333333334,9730.333333333334,2340.3333333333335,2291.3333333333335,3961.6666666666665,6502.0,5378.0,10266.5,2631.6666666666665,11732.333333333334,1398.0,2703.0,4430.333333333333,3896.3333333333335,3699.3333333333335,2209.3333333333335,8676.0,3036.6666666666665,2176.0,8680.333333333334,5596.333333333333,2238.6666666666665,8058.333333333333,5566.333333333333,8279.333333333334,3774.3333333333335,1984.0,2307.0,1734.3333333333333,2356.6666666666665,3555.6666666666665,3407.6666666666665,4660.333333333333,3182.6666666666665,3400.0,5669.333333333333,4680.333333333333,2745.6666666666665,2688.3333333333335,3334.0,12557.666666666666,1980.0,3204.6666666666665,3473.6666666666665,11784.0
Guara,7453.0,9124.666666666666,1173.3333333333333,870.0,3012.0,5535.666666666667,2643.0,10918.0,7937.333333333333,6577.666666666667,704.3333333333334,2649.0,3253.3333333333335,5980.0,6282.666666666667,7623.333333333333,837.3333333333334,8196.0,2463.6666666666665,841.0,3154.3333333333335,2505.3333333333335,1747.6666666666667,2215.0,8422.333333333334,3002.3333333333335,636.3333333333334,6631.0,5230.0,1094.3333333333333,7768.0,3914.6666666666665,6705.0,1582.0,2212.3333333333335,1109.6666666666667,1643.3333333333333,1996.0,2468.3333333333335,3885.0,3936.3333333333335,1029.3333333333333,783.0,3619.3333333333335,2044.3333333333333,2126.0,957.6666666666666,1622.3333333333333,9824.0,2194.0,1764.3333333333333,1053.6666666666667,10915.5
Itapoa,8387.0,8871.666666666666,3143.0,3490.0,5309.666666666667,7639.0,4739.333333333333,8684.0,6139.333333333333,5532.0,2672.0,4598.0,4062.3333333333335,9099.0,8119.333333333333,7546.666666666667,2225.6666666666665,4076.0,4214.0,2633.6666666666665,830.3333333333334,1932.3333333333333,1678.0,3452.6666666666665,9167.333333333334,5368.333333333333,2740.0,9926.0,2421.3333333333335,3253.3333333333335,11848.666666666666,1645.3333333333333,5342.333333333333,3427.0,4375.333333333333,4126.333333333333,3932.0,4547.333333333333,3572.6666666666665,6404.666666666667,3654.0,3127.3333333333335,2697.0,1622.0,2219.0,4086.3333333333335,2832.3333333333335,3445.0,9685.666666666666,4743.666666666667,1718.0,3261.3333333333335,7833.666666666667
Jardim Botanico,8422.666666666666,10595.666666666666,2726.3333333333335,3623.3333333333335,4871.0,6846.0,4603.333333333333,13521.666666666666,6860.0,7770.333333333333,2024.0,5268.666666666667,3796.3333333333335,8909.666666666666,7623.666666666667,7231.0,2423.0,7450.666666666667,4231.666666666667,2769.0,2159.3333333333335,1981.6666666666667,2545.6666666666665,3305.3333333333335,6718.666666666667,4857.333333333333,2962.6666666666665,10642.666666666666,3786.6666666666665,3083.0,11812.0,4226.666666666667,6180.5,4776.333333333333,4102.666666666667,3571.0,3196.3333333333335,3974.0,3197.3333333333335,5712.0,2525.6666666666665,3391.3333333333335,2705.0,3286.3333333333335,3539.0,4060.0,2712.0,3778.3333333333335,12110.333333333334,3460.0,2144.0,3495.0,9484.666666666666
