,Abadiania,Agua Fria de Goias,Aguas Claras,Aguas Claras Vertical,Aguas Lindas de Goias,Alexania,Brazlandia,Buritis,Cabeceira Grande,Cabeceiras,Candangolandia,Ceilandia,Cidade Ocidental,Cocalzinho de Goias,Corumba de Goias,Cristalina,Cruzeiro,Formosa,Gama,Guara,Itapoa,Jardim Botanico,Lago Norte,Lago Sul,Luziania,Novo Gama,Nucleo Bandeirante,Padre Bernardo,Paranoa,Park Way,Pirenopolis,Planaltina,Planaltina-GO,Plano Piloto,Recanto das Emas,Riacho Fundo I,Riacho Fundo II,Samambaia,Santa Maria,Santo Antonio do Descoberto,Sao Sebastiao,SCIA/Estrutural,SIA,Sobradinho,Sobradinho II,Sol Nascente/Por do Sol,Sudoeste/Octogonal,Taguatinga,Unai,Valparaiso de Goias,Varjao,Vicente Pires,Vila Boa
Aguas Claras,-1,-1,2709.3333333333335,2451.0,-1,-1,7991.333333333333,-1,-1,-1,6103.333333333333,14008.5,-1,-1,-1,-1,9901.0,-1,-1,7956.666666666667,13447.0,10291.0,10733.5,14648.0,-1,-1,3585.5,-1,10650.0,6981.0,-1,-1,-1,13647.0,8985.5,-1,10145.5,-1,12730.5,-1,-1,9849.666666666666,8039.666666666667,16050.0,16422.0,7486.333333333333,6203.666666666667,4653.5,-1,21234.0,10260.0,4595.5,-1
Aguas Claras Vertical,-1,-1,3739.6666666666665,1261.6666666666667,-1,-1,-1,-1,-1,-1,7955.333333333333,7676.0,-1,-1,-1,-1,8396.666666666666,-1,14772.333333333334,5320.5,18041.0,14026.0,14338.5,-1,-1,-1,7724.0,11421.0,-1,11570.666666666666,-1,-1,-1,7084.0,9258.666666666666,4096.0,8830.666666666666,5583.0,9906.0,-1,10091.0,11583.0,7925.333333333333,18109.5,15031.666666666666,6138.666666666667,7073.0,7898.0,-1,16269.5,8941.0,5417.0,-1
Brazlandia,-1,-1,7735.0,14376.0,-1,-1,-1,-1,-1,-1,11740.5,13705.0,-1,-1,-1,-1,-1,-1,30554.0,8761.0,-1,-1,15142.5,13089.0,-1,-1,9533.0,-1,-1,12369.0,-1,-1,-1,-1,-1,-1,17074.0,-1,-1,-1,-1,13178.5,13451.0,-1,15591.0,14524.0,12723.0,12967.0,-1,-1,15558.5,-1,-1
Candangolandia,-1,-1,9255.333333333334,7631.666666666667,-1,-1,14555.0,-1,-1,-1,1085.0,17433.0,-1,-1,-1,-1,5859.0,-1,-1,4747.5,15326.0,13670.0,10663.0,8137.0,-1,-1,4724.0,-1,-1,6382.666666666667,-1,18283.0,-1,7585.0,12466.0,8936.0,9961.0,15647.0,11382.5,-1,10560.0,6555.666666666667,9394.333333333334,10912.0,9297.0,10568.0,6007.666666666667,10702.666666666666,-1,12222.0,8394.666666666666,7315.333333333333,-1
Ceilandia,-1,-1,5925.0,6352.0,-1,-1,5181.0,-1,-1,-1,8589.0,-1,-1,-1,-1,-1,9971.0,-1,12654.0,-1,14314.333333333334,-1,12835.0,-1,-1,-1,9352.0,-1,28896.0,-1,-1,-1,-1,-1,-1,-1,5983.0,4657.0,-1,-1,14493.0,-1,7253.5,-1,15699.0,-1,9401.0,-1,-1,-1,14615.5,11682.0,-1
Cruzeiro,-1,-1,9346.0,6276.666666666667,-1,-1,12284.5,-1,-1,-1,6260.333333333333,8373.5,-1,-1,-1,-1,756.3333333333334,-1,17612.5,8619.666666666666,13901.0,-1,10270.0,7342.0,-1,-1,7516.0,-1,-1,8069.333333333333,-1,16659.0,-1,-1,13153.5,14527.5,11777.333333333334,13866.5,-1,-1,-1,7643.333333333333,3327.5,-1,13580.666666666666,6807.333333333333,1665.6666666666667,-1,-1,15621.0,8703.0,6027.666666666667,-1
Gama,-1,-1,7186.0,-1,-1,-1,17426.0,-1,-1,-1,6954.0,10100.0,-1,-1,-1,-1,13159.0,-1,-1,8291.666666666666,-1,-1,13603.0,10567.0,-1,-1,6581.0,-1,12676.0,-1,-1,-1,-1,14035.0,-1,-1,6824.333333333333,-1,-1,-1,9682.0,10931.5,11030.666666666666,-1,-1,10608.0,9864.0,8956.5,-1,26864.0,14871.0,10043.0,-1
Guara,-1,-1,5989.5,7525.0,-1,-1,-1,-1,-1,-1,3103.3333333333335,16950.0,-1,-1,-1,-1,6447.0,-1,14235.333333333334,7902.5,11253.0,-1,11812.333333333334,7167.0,-1,-1,3230.6666666666665,-1,20981.0,8270.333333333334,-1,-1,-1,6351.0,13596.0,3829.0,9480.333333333334,-1,-1,-1,12689.5,5186.666666666667,3070.6666666666665,15728.666666666666,16359.0,6674.5,2818.0,14018.0,-1,19296.0,7975.333333333333,7779.0,-1
Itapoa,-1,-1,10712.0,11488.5,-1,-1,18605.0,-1,-1,-1,11029.0,13121.0,-1,-1,-1,-1,8838.666666666666,-1,-1,9984.5,2839.0,-1,7912.0,-1,21264.0,-1,9459.0,-1,-1,14165.0,-1,-1,-1,9701.0,15838.0,11946.0,14106.5,12196.0,10799.5,-1,-1,-1,9574.666666666666,4709.0,5701.0,13714.0,6888.5,12953.5,-1,-1,6065.5,13670.0,-1
Jardim Botanico,-1,-1,-1,10097.0,-1,-1,-1,-1,-1,-1,8335.333333333334,-1,-1,-1,-1,-1,9757.0,-1,-1,8265.0,-1,1391.0,6942.0,3031.0,-1,-1,9557.0,-1,-1,5962.0,-1,19406.0,-1,-1,13819.0,14459.5,10524.0,-1,-1,-1,9559.0,7031.0,8472.0,-1,10314.333333333334,11558.333333333334,9134.0,-1,-1,14090.0,9625.0,-1,-1
