,Abadiania,Agua Fria de Goias,Aguas Claras,Aguas Claras Vertical,Aguas Lindas de Goias,Alexania,Brazlandia,Buritis,Cabeceira Grande,Cabeceiras,Candangolandia,Ceilandia,Cidade Ocidental,Cocalzinho de Goias,Corumba de Goias,Cristalina,Cruzeiro,Formosa,Gama,Guara,Itapoa,Jardim Botanico,Lago Norte,Lago Sul,Luziania,Novo Gama,Nucleo Bandeirante,Padre Bernardo,Paranoa,Park Way,Pirenopolis,Planaltina,Planaltina-GO,Plano Piloto,Recanto das Emas,Riacho Fundo I,Riacho Fundo II,Samambaia,Santa Maria,Santo Antonio do Descoberto,Sao Sebastiao,SCIA/Estrutural,SIA,Sobradinho,Sobradinho II,Sol Nascente/Por do Sol,Sudoeste/Octogonal,Taguatinga,Unai,Valparaiso de Goias,Varjao,Vicente Pires,Vila Boa
Aguas Claras,83403.33333333333,107912.33333333333,1852.0,4262.666666666667,32994.666666666664,54061.0,37239.666666666664,156261.0,100338.33333333333,105308.66666666667,10402.0,24785.333333333332,36243.666666666664,63731.333333333336,75126.66666666667,101873.33333333333,12662.666666666666,107370.0,16298.333333333334,7664.0,33187.666666666664,31629.666666666668,28707.0,20752.0,70017.66666666667,28053.333333333332,4292.666666666667,88348.33333333333,52808.333333333336,10672.666666666666,92222.33333333333,60533.666666666664,101764.33333333333,15080.0,14041.666666666666,7741.333333333333,11392.666666666666,10446.333333333334,25434.666666666668,30312.666666666668,33953.333333333336,10039.0,10524.0,33567.333333333336,26956.666666666668,13620.0,12554.333333333334,7531.0,139756.33333333334,24048.0,22614.333333333332,5944.666666666667,135246.33333333334
Aguas Claras Vertical,85349.66666666667,108993.66666666667,4873.0,2015.0,27761.333333333332,53293.0,20688.0,160123.0,96717.33333333333,109114.0,10705.666666666666,15696.666666666666,41898.0,63159.0,77059.33333333333,87286.66666666667,11019.333333333334,88677.33333333333,20874.0,6851.666666666667,31261.0,27152.333333333332,24809.0,25349.666666666668,60321.333333333336,29978.0,7791.0,89774.0,60786.666666666664,14255.666666666666,110874.33333333333,60788.0,78652.66666666667,15045.666666666666,12644.333333333334,10725.333333333334,10221.666666666666,15221.0,29329.0,37492.666666666664,38953.0,8324.333333333334,5222.666666666667,31936.666666666668,26394.0,9651.666666666666,10902.0,7797.0,116970.33333333333,26314.333333333332,20944.333333333332,6137.333333333333,136485.33333333334
Brazlandia,90872.0,121887.66666666667,21424.333333333332,27280.333333333332,17209.0,62353.0,15679.666666666666,159091.66666666666,110809.0,111629.33333333333,25697.333333333332,29282.333333333332,65753.0,65906.33333333333,73665.0,135645.66666666666,33132.666666666664,105081.0,32406.666666666668,36340.0,48160.333333333336,53172.0,31913.666666666668,36744.333333333336,102641.33333333333,49300.333333333336,41091.0,45513.333333333336,74357.66666666667,37017.333333333336,102081.0,65096.666666666664,90714.0,36191.333333333336,35236.0,37098.0,31452.333333333332,33962.0,47518.333333333336,49615.333333333336,65355.333333333336,19886.0,23623.333333333332,24476.333333333332,30053.666666666668,25753.0,23802.666666666668,16811.333333333332,133045.33333333334,53712.666666666664,37758.333333333336,28632.666666666668,143810.66666666666
Candangolandia,99933.0,107675.33333333333,12341.666666666666,10262.666666666666,36809.666666666664,56708.666666666664,44308.333333333336,111342.66666666667,91024.0,96541.66666666667,4067.6666666666665,27863.0,37748.0,68854.33333333333,69261.66666666667,121362.0,6781.333333333333,91769.0,20129.666666666668,5102.666666666667,30593.5,23821.0,18221.0,14544.333333333334,64345.333333333336,30925.666666666668,7635.0,89933.0,46441.333333333336,7373.666666666667,110626.0,53304.666666666664,56490.0,18730.0,17255.333333333332,11371.333333333334,12785.0,21350.0,24574.666666666668,45855.333333333336,27680.0,10905.333333333334,11849.0,42798.0,20520.333333333332,23331.333333333332,7700.0,17295.333333333332,141616.66666666666,23454.0,18269.666666666668,15373.0,130088.0
Ceilandia,63719.0,116997.66666666667,20360.666666666668,20159.666666666668,16815.333333333332,41356.0,23758.333333333332,154671.33333333334,107590.66666666667,116291.66666666667,24688.0,8393.0,56688.333333333336,58523.666666666664,66021.66666666667,126306.0,22274.333333333332,102437.66666666667,23739.0,21787.0,49223.0,43244.333333333336,36417.0,41358.333333333336,92697.0,37203.0,27092.333333333332,95626.33333333333,67974.0,31831.666666666668,97053.33333333333,77484.0,101169.33333333333,30335.333333333332,15748.666666666666,25581.0,23518.666666666668,15548.666666666666,41671.0,46850.666666666664,50485.666666666664,21744.666666666668,21847.0,41793.666666666664,42400.666666666664,11299.0,26374.0,9884.333333333334,155361.66666666666,31087.333333333332,37669.333333333336,20629.333333333332,146024.66666666666
Cruzeiro,87904.33333333333,104279.33333333333,12948.333333333334,9807.666666666666,35218.333333333336,62711.333333333336,24092.0,130677.66666666667,90310.0,99271.0,7031.0,26116.666666666668,38476.333333333336,81876.66666666667,74739.33333333333,91507.66666666667,1387.6666666666667,116388.0,23808.333333333332,5101.333333333333,23676.333333333332,21055.0,15214.333333333334,18596.333333333332,69190.0,28325.666666666668,9066.0,73492.0,44821.333333333336,12282.666666666666,100478.33333333333,46024.333333333336,69624.33333333333,13490.0,26681.333333333332,15661.333333333334,17445.666666666668,24364.666666666668,23624.0,41802.333333333336,31052.0,6391.0,2779.3333333333335,30031.0,15756.333333333334,19462.0,2007.0,13754.0,129040.33333333333,25583.666666666668,12525.666666666666,9023.333333333334,126473.66666666667
Gama,70083.66666666667,137254.33333333334,14255.333333333334,21798.666666666668,35933.666666666664,44145.0,35592.0,166869.0,98549.66666666667,130563.66666666667,21473.666666666668,26179.0,36522.0,82933.0,60053.333333333336,91575.0,32184.333333333332,117572.33333333333,11513.0,24791.666666666668,50611.333333333336,45874.0,42589.666666666664,30852.0,38458.666666666664,16663.0,19320.0,84418.66666666667,65399.0,17817.333333333332,98710.33333333333,72280.33333333333,103333.33333333333,40721.333333333336,14670.666666666666,23846.0,18269.333333333332,16466.666666666668,19091.666666666668,31621.333333333332,51537.0,26402.666666666668,27452.333333333332,58482.333333333336,41615.666666666664,23886.333333333332,30505.0,24604.333333333332,139602.66666666666,18328.0,46514.333333333336,24298.333333333332,159578.0
Guara,96169.0,109959.66666666667,8352.666666666666,7652.333333333333,37665.666666666664,61282.333333333336,28563.0,143542.0,95932.66666666667,98910.66666666667,6971.0,27180.666666666668,40676.333333333336,85783.66666666667,77699.0,112072.66666666667,5522.0,94542.66666666667,20945.0,3615.0,30710.333333333332,21361.0,18507.0,15892.333333333334,64266.0,32659.666666666668,5791.666666666667,101479.66666666667,55270.333333333336,13525.0,102255.66666666667,47660.333333333336,65126.333333333336,9789.666666666666,19901.0,9954.666666666666,13327.666666666666,18515.333333333332,25554.666666666668,44904.333333333336,32417.666666666668,6158.666666666667,5899.666666666667,32350.0,27044.333333333332,17846.0,6613.666666666667,13146.666666666666,142745.66666666666,24703.0,16670.333333333332,7622.333333333333,141161.66666666666
Itapoa,115968.33333333333,98280.33333333333,33701.0,31901.0,51982.666666666664,78022.33333333333,44174.666666666664,108281.5,69216.0,76493.0,26994.666666666668,48039.0,42890.333333333336,90143.66666666667,103425.0,83681.33333333333,26904.333333333332,64255.666666666664,52562.0,29198.0,4741.666666666667,19161.0,14254.333333333334,31819.333333333332,90782.66666666667,49091.0,28779.0,72694.0,26548.666666666668,36252.333333333336,129572.33333333333,23554.333333333332,46690.0,25131.0,49789.333333333336,35739.333333333336,37606.666666666664,53936.666666666664,28406.666666666668,66786.0,25629.333333333332,27595.666666666668,27276.0,24625.333333333332,18603.0,41963.0,29048.333333333332,37912.666666666664,120329.33333333333,45513.0,17299.0,36447.666666666664,122327.0
Jardim Botanico,100179.0,120547.66666666667,24385.333333333332,31008.0,52113.666666666664,85478.66666666667,45328.333333333336,151365.66666666666,71710.33333333333,80990.0,27247.666666666668,36037.666666666664,34424.666666666664,79511.33333333333,90679.33333333333,65086.0,21572.333333333332,89905.66666666667,35734.333333333336,23768.0,16725.666666666668,8758.666666666666,22193.333333333332,20356.0,99605.66666666667,44780.666666666664,24893.666666666668,95856.66666666667,37467.0,25632.333333333332,118001.66666666667,50817.0,80725.66666666667,27308.333333333332,40660.333333333336,32409.666666666668,33768.666666666664,42105.666666666664,25586.0,57064.333333333336,22584.333333333332,27142.333333333332,25361.666666666668,29659.0,25805.666666666668,38613.666666666664,18745.0,35710.0,112893.33333333333,30830.333333333332,20044.0,28662.0,145114.33333333334
